sub_id,face_id,distance,familiar,sex,race,out_degree,in_degree,high,low,notes,,,
B4S-26f7a,A2N-f330811,stranger_H,0,female,hispanic,3,-,1,0,,,,
B4S-26f7a,A2N-a4a3154,stranger_H,0,female,hispanic,3,-,1,0,,,,
B4S-26f7a,A2N-2273207,stranger_H,0,female,hispanic,5,-,1,0,selected HC,,,
B4S-26f7a,A2N-4613910,stranger_L,0,female,asian,0,-,0,1,,,,
B4S-26f7a,A2N-c172869,stranger_L,0,female,asian,0,-,0,1,selected LC,,,
B4S-26f7a,A7S-c400719,stranger_L,0,female,asian,0,-,0,1,,,,
B4S-26f7a,A2N-6be3846,stranger_L,0,female,asian,1,-,0,1,,,,
B4S-26f7a,A2N-8686958,stranger_L,0,female,hispanic,0,-,0,1,,,,
B4S-26f7a,A7S-1b12868,stranger_L,0,female,hispanic,1,-,0,1,,,,
B4S-26f7a,A2N-c783915,stranger_L,0,female,hispanic,1,-,0,1,,,,
B4S-20545,B4S-5c156,distance_1,1,female,ambiguous,3,11,1,0,selected HC,,,
B4S-20545,B4S-268f7,distance_1,1,female,asian,7,4,1,0,,,,
B4S-20545,B4S-26f7a,distance_1,1,female,hispanic,5,3,0,1,selected LC,,,
B4S-20545,B4S-20e50,distance_1,1,female,asian,6,5,0,1,,,,
B4S-20545,B4S-1389c,distance_2,1,female,asian,0,1,0,1,,,,
B4S-20545,B4S-5dd42,distance_2,1,male,asian,3,8,1,0,selected HC,,,
B4S-20545,B4S-755b1,distance_2,1,female,ambiguous,4,4,0,1,selected LC,,,
B4S-20545,B4S-0d005,distance_2,1,male,white,5,2,1,0,,,,
B4S-20545,B4S-628d9,distance_2,1,female,hispanic,2,1,0,1,,,,
